Company Name,Website,Main Phone,Main Email,HQ Address,Services,Specialties,Leadership Count,Pages Scraped,Scraped At,Errors
Nationwide Realty Investors,https://www.nationwiderealtyinvestors.com,(614) 857-2330,,"375 N. Front Street, Suite 200 | Columbus, OH 43215-2220 | Phone: 614.857.2330",Development; Leasing,Hospitality; Land; Mixed-Use; Office; Retail; Senior Housing,0,3,2025-12-22T23:25:28.408761,
CASTO,https://castoinfo.com,(614) 228-5331,,,Asset Management; Brokerage; Construction Management; Consulting; Development; Leasing; Property Management,Apartment; Flex; Healthcare; Land; Multifamily; Retail,0,4,2025-12-22T23:25:54.331285,
Thrive Companies,https://thrivecos.com,(614) 545-9247,info@thrivecos.com,"842 North 4th Street Suite 200 Columbus, OH 43215 info@thrivecos.com 614.545.9247",Development; Leasing; Property Management,Apartment; Industrial; Land; Mixed-Use; Office,0,4,2025-12-22T23:26:03.085945,
Kaufman Development,https://www.livekaufman.com,,,,Development; Leasing,Apartment,0,2,2025-12-22T23:26:11.750685,
Cushman & Wakefield Cincinnati,https://www.cushmanwakefield.com/en/united-states/offices/cincinnati,(513) 421-4884,,,Advisory; Capital Markets; Development; Leasing; Occupier Services; Research; Tenant Representation; Valuation,Apartment; Data Center; Healthcare; Hospitality; Industrial; Land; Life Science; Multifamily; Office; Retail; Student Housing; Warehouse,0,4,2025-12-22T23:27:18.876710,
Lee & Associates Cincinnati,https://www.lee-cincinnati.com,(513) 272-6800,,,Advisory; Brokerage; Facility Management; Leasing; Property Management; Research,Office,0,3,2025-12-22T23:27:30.987697,
NAI Bergman,https://bergmancommercial.com,(513) 769-1710,info@bergman-group.com,"4695 Lake Forest Drive,",Asset Management; Brokerage; Construction Management; Corporate Services; Development; Facility Management; Investment Sales; Leasing; Property Management; Research; Tenant Representation,Industrial; Land; Medical; Office; Retail,0,4,2025-12-22T23:27:48.071889,
APEX Commercial Group,https://apexcommercialgroup.com,(937) 222-7884,info@apexcommercialgroup.com,7887 Washington Village Drive,Advisory; Brokerage; Debt Placement; Landlord Representation; Leasing; Tenant Representation; Valuation,Industrial; Land; Office; Retail,0,4,2025-12-22T23:27:57.630080,
Cushman & Wakefield CRESCO,https://crescorealestate.com,(216) 520-1200,,,Advisory; Consulting; Corporate Services; Development; Leasing; Property Management; Research; Tenant Representation; Valuation,Healthcare; Industrial; Land; Medical; Office; Retail; Warehouse,0,4,2025-12-22T23:28:44.480805,
Newmark Cleveland,https://terrycoyne.com,(614) 883-1239,terry.coyne@nmrk.com,"1300 E 9th St., Suite 105, Cleveland, OH 44114 Offie: 216.453.3001",Development; Leasing,Industrial; Land; Office; Retail; Warehouse,10,3,2025-12-22T23:28:53.676443,
Cushman & Wakefield Indianapolis,https://www.cushmanwakefield.com/en/united-states/offices/indianapolis,(317) 634-6363,,,Advisory; Capital Markets; Development; Leasing; Occupier Services; Research; Tenant Representation; Valuation,Apartment; Data Center; Distribution; Healthcare; Hospitality; Industrial; Land; Life Science; Multifamily; Office; Retail; Student Housing,0,4,2025-12-22T23:29:22.243821,
JLL Indianapolis,https://www.us.jll.com/en/locations/midwest/indianapolis,,,,Advisory; Brokerage; Capital Markets; Leasing; Project Management; Property Management; Research; Tenant Representation,Data Center; Flex; Hotel; Land; Manufacturing; Office; Retail,0,4,2025-12-22T23:29:34.609701,
Bradley Company,https://www.bradleyco.com,(574) 237-6000,info@bradleyco.com,,Advisory; Brokerage; Consulting; Corporate Services; Facility Management; Occupier Services; Project Management; Property Management; Tenant Representation,Flex; Healthcare; Industrial; Medical; Multifamily; Office; Retail; Student Housing,0,4,2025-12-22T23:29:44.578732,
Lee & Associates Charlotte,https://www.lee-associates.com/offices,,,,Advisory; Brokerage; Construction Management; Development; Leasing; Project Management; Property Management; Research,Data Center; Healthcare; Industrial; Land; Multifamily; Office; Retail; Senior Housing,0,4,2025-12-22T23:32:46.108252,
NAI Hiffman,https://hiffman.com,(630) 317-0796,pgrusecki@hiffman.com,,Advisory; Brokerage; Capital Markets; Facility Management; Leasing; Property Management; Research; Tenant Representation,Industrial; Land; Office; Retail,0,4,2025-12-22T23:30:05.738111,
JLL Chicago,https://www.us.jll.com/en/locations/midwest/chicago,,,,Advisory; Brokerage; Capital Markets; Development; Investment Sales; Leasing; Project Management; Property Management; Research; Tenant Representation,Data Center; Flex; Hotel; Industrial; Land; Manufacturing; Multifamily; Office; Retail,0,4,2025-12-22T23:30:14.851129,
Cushman & Wakefield Chicago,https://www.cushmanwakefield.com/en/united-states/offices/chicago,(312) 470-1800,,,Advisory; Asset Management; Capital Markets; Development; Leasing; Occupier Services; Property Management; Research; Tenant Representation; Valuation,Apartment; Data Center; Flex; Healthcare; Hospitality; Industrial; Land; Life Science; Multifamily; Office; Retail; Student Housing,0,4,2025-12-22T23:30:24.376214,
SVN Chicago Commercial,https://svnchicago.com,(312) 676-1866,,,Advisory; Brokerage; Capital Markets; Corporate Services; Development; Landlord Representation; Leasing; Property Management; Tenant Representation; Valuation,Apartment; Flex; Hospitality; Hotel; Industrial; Land; Office; Retail,0,4,2025-12-22T23:30:37.298269,
Interra Realty,https://interrarealty.com,(312) 261-9970,,350 N. Clark Street,Advisory; Brokerage; Development; Valuation,Healthcare; Industrial; Land; Mixed-Use; Multifamily; Office; Retail,19,4,2025-12-22T23:30:51.020504,
JLL Pittsburgh,https://www.us.jll.com/en/locations/northeast/pittsburgh,,,,Brokerage; Capital Markets; Leasing; Project Management; Property Management; Research,Data Center; Flex; Hotel; Land; Manufacturing; Office; Retail,0,4,2025-12-22T23:31:00.228162,
Newmark Pittsburgh,https://www.nmrk.com/offices/pittsburgh,(412) 281-0100,,2025 Newmark | All rights reserved.,Advisory; Appraisal; Brokerage; Capital Markets; Construction Management; Consulting; Development; Leasing; Project Management; Property Management; Research; Tenant Representation; Valuation,Data Center; Healthcare; Hospitality; Industrial; Land; Life Science; Multifamily; Office; Retail; Student Housing,0,4,2025-12-22T23:31:09.852501,
Pennsylvania Commercial Real Estate,https://www.penncom.com,(412) 391-3500,emailinfo@penncom.comphone,"910 Sheraton Drive, Suite 340Mars, PA 16046412.391.3500",Advisory; Brokerage; Development; Leasing; Property Management; Research; Tenant Representation; Valuation,Flex; Industrial; Land; Office; Retail,0,4,2025-12-22T23:31:19.140193,
JLL Charlotte,https://www.us.jll.com/en/locations/southeast/charlotte,,,,Brokerage; Capital Markets; Leasing; Project Management; Property Management; Research,Data Center; Flex; Hotel; Land; Manufacturing; Office; Retail,0,4,2025-12-22T23:31:36.537352,
Cushman & Wakefield Charlotte,https://www.cushmanwakefield.com/en/united-states/offices/charlotte,(704) 375-7771,,,Advisory; Brokerage; Capital Markets; Development; Leasing; Occupier Services; Property Management; Research; Tenant Representation; Valuation,Apartment; Data Center; Healthcare; Hospitality; Industrial; Land; Life Science; Multifamily; Office; Retail; Student Housing,0,4,2025-12-22T23:31:46.159174,
Trinity Partners,https://www.trinity-partners.com,,,,Investment Sales; Leasing; Occupier Services; Project Management; Property Management,Industrial; Land; Life Science; Medical; Office; Retail,20,4,2025-12-22T23:32:00.096009,
Lincoln Property Company Charlotte,https://lpc.com/office/charlotte,(214) 740-3300,,"8111 Douglas Avenue, Suite 600 Dallas, TX 75225",Advisory; Brokerage; Development; Facility Management; Leasing; Research,Data Center; Flex; Healthcare; Land; Life Science; Mixed-Use; Multifamily; Office,0,4,2025-12-22T23:32:08.983624,
Foundry Commercial,https://www.foundrycommercial.com/locations/charlotte,,john.ball@foundrycommercial.com,45 States of project experience,Advisory; Brokerage; Capital Markets; Development; Investment Sales; Landlord Representation; Leasing; Project Management; Tenant Representation,Healthcare; Industrial; Land; Medical; Multifamily; Office; Retail,7,4,2025-12-22T23:32:17.930740,
Childress Klein,https://childressklein.com,,,"550 S. Tryon 1,500,000 SF",Development; Leasing; Project Management; Property Management,Industrial; Land; Multifamily; Office; Retail; Self-Storage,0,4,2025-12-22T23:32:27.443026,
The Keith Corporation,https://thekeithcorp.com,(704) 365-6000,,"4500 Cameron Valley ParkwaySuite 400Charlotte, North Carolina 28211",Asset Management; Brokerage; Development; Facility Management; Project Management; Property Management,Healthcare; Industrial; Land; Life Science; Medical; Mixed-Use; Office; Retail; Warehouse,20,4,2025-12-22T23:32:37.068245,
Avison Young Savannah,https://www.avisonyoung.us/web/savannah,,,200 Portland Street,Advisory; Asset Management; Brokerage; Capital Markets; Construction Management; Consulting; Development; Facility Management; Investment Sales; Landlord Representation; Leasing; Occupier Services; Project Management; Property Management; Research; Tenant Representation; Valuation,Data Center; Distribution; Flex; Healthcare; Hospitality; Industrial; Land; Life Science; Mixed-Use; Multifamily; Net Lease; Office; Retail; Self-Storage; Senior Housing; Warehouse,0,4,2025-12-22T23:32:59.004755,
NAI Mopper Benton,https://www.naisavannah.com,(912) 358-5600,info@naisavannah.com,"1650 E Victory Dr Suite D, Savannah, GA 31404, United States",Advisory; Brokerage; Capital Markets; Consulting; Corporate Services; Investment Sales; Leasing; Property Management; Research; Valuation,Distribution; Hospitality; Industrial; Land; Office; Retail; Senior Housing,0,4,2025-12-22T23:33:08.080373,
